date,region,indicator_name,indicator_value,frequency,unit,source_name,source_url,note
2010-03-31,全国,固定资产投资（不含农户）_同比增速_last,26.4,quarterly,%,聚合计算,-,quarterly aggregation from monthly 固定资产投资（不含农户）_同比增速
2010-03-31,全国,固定资产投资（不含农户）_同比增速_max,26.6,quarterly,%,聚合计算,-,quarterly aggregation from monthly 固定资产投资（不含农户）_同比增速
2010-03-31,全国,固定资产投资（不含农户）_同比增速_mean,26.5,quarterly,%,聚合计算,-,quarterly aggregation from monthly 固定资产投资（不含农户）_同比增速
2010-03-31,全国,固定资产投资（不含农户）_同比增速_min,26.4,quarterly,%,聚合计算,-,quarterly aggregation from monthly 固定资产投资（不含农户）_同比增速
2010-03-31,全国,固定资产投资（不含农户）_同比增速_std,0.14142135623731153,quarterly,%,聚合计算,-,quarterly aggregation from monthly 固定资产投资（不含农户）_同比增速
2010-03-31,全国,固定资产投资（不含农户）_同比增速_trend,-0.2000000000000064,quarterly,%,聚合计算,-,quarterly aggregation from monthly 固定资产投资（不含农户）_同比增速
2010-03-31,全国,工业增加值_同比增速_last,18.1,quarterly,%,聚合计算,-,quarterly aggregation from monthly 工业增加值_同比增速
2010-03-31,全国,工业增加值_同比增速_max,18.1,quarterly,%,聚合计算,-,quarterly aggregation from monthly 工业增加值_同比增速
2010-03-31,全国,工业增加值_同比增速_mean,15.450000000000001,quarterly,%,聚合计算,-,quarterly aggregation from monthly 工业增加值_同比增速
2010-03-31,全国,工业增加值_同比增速_min,12.8,quarterly,%,聚合计算,-,quarterly aggregation from monthly 工业增加值_同比增速
2010-03-31,全国,工业增加值_同比增速_std,3.7476659402887025,quarterly,%,聚合计算,-,quarterly aggregation from monthly 工业增加值_同比增速
2010-03-31,全国,工业增加值_同比增速_trend,5.299999999999998,quarterly,%,聚合计算,-,quarterly aggregation from monthly 工业增加值_同比增速
2010-03-31,全国,房地产开发投资_累计值_last,6594.45,quarterly,%,聚合计算,-,quarterly aggregation from monthly 房地产开发投资_累计值
2010-03-31,全国,房地产开发投资_累计值_max,6594.45,quarterly,%,聚合计算,-,quarterly aggregation from monthly 房地产开发投资_累计值
2010-03-31,全国,房地产开发投资_累计值_mean,4869.045,quarterly,%,聚合计算,-,quarterly aggregation from monthly 房地产开发投资_累计值
2010-03-31,全国,房地产开发投资_累计值_min,3143.64,quarterly,%,聚合计算,-,quarterly aggregation from monthly 房地产开发投资_累计值
2010-03-31,全国,房地产开发投资_累计值_std,2440.09115158635,quarterly,%,聚合计算,-,quarterly aggregation from monthly 房地产开发投资_累计值
2010-03-31,全国,房地产开发投资_累计值_trend,3450.809999999999,quarterly,%,聚合计算,-,quarterly aggregation from monthly 房地产开发投资_累计值
2010-03-31,全国,社会消费品零售总额_累计值_last,36374.0,quarterly,%,聚合计算,-,quarterly aggregation from monthly 社会消费品零售总额_累计值
2010-03-31,全国,社会消费品零售总额_累计值_max,36374.0,quarterly,%,聚合计算,-,quarterly aggregation from monthly 社会消费品零售总额_累计值
2010-03-31,全国,社会消费品零售总额_累计值_mean,24714.8,quarterly,%,聚合计算,-,quarterly aggregation from monthly 社会消费品零售总额_累计值
